Year,Week,SMN,SMT,VCI,TCI,VHI,Region
1983,41,0.61,4.52,51.02,51.24,51.13,1
1983,42,1.67,4.49,56.32,40.31,48.31,1
1983,43,4.76,2.91,39.89,37.21,38.55,1
1983,44,1.54,1.71,21.27,62.76,42.02,1
1983,45,3.98,3.97,49.66,46.22,47.94,1
1983,46,0.38,2.79,31.12,25.21,28.16,1
1983,47,1.82,0.67,45.21,33.67,39.44,1
1983,48,3.13,0.6,36.34,28.34,32.34,1
1983,49,0.46,4.13,33.67,28.92,31.3,1
1983,50,0.52,4.93,23.08,37.89,30.49,1
1983,51,4.08,4.74,8.86,18.55,13.7,1
1983,52,3.91,2.84,20.52,33.41,26.97,1
1984,1,0.64,2.51,45.16,34.8,39.98,1
1984,2,0.38,0.68,33.26,34.19,33.73,1
1984,3,3.76,2.96,39.87,28.85,34.36,1
1984,4,1.5,4.36,35.11,44.87,39.99,1
1984,5,0.46,2.81,42.0,41.63,41.82,1
1984,6,3.18,3.51,41.07,49.01,45.04,1
1984,7,2.96,4.52,75.21,35.47,55.34,1
1984,8,1.46,1.02,78.06,36.71,57.39,1
1984,9,2.96,0.48,15.73,41.88,28.81,1
1984,10,1.62,4.09,55.13,72.51,63.82,1
1984,11,4.56,4.13,38.93,57.71,48.32,1
1984,12,4.67,4.34,34.98,75.57,55.28,1
1984,13,4.94,0.84,74.78,49.69,62.24,1
1984,14,4.85,4.23,33.6,73.22,53.41,1
1984,15,2.13,1.44,59.64,73.37,66.51,1
1984,16,3.87,4.73,63.34,60.51,61.93,1
1984,17,2.31,0.73,58.22,68.7,63.46,1
1984,18,1.22,3.39,68.26,68.52,68.39,1
1984,19,0.66,3.39,44.7,78.61,61.66,1
1984,20,2.65,4.28,91.97,65.41,78.69,1
1984,21,4.4,2.08,100.0,85.63,92.81,1
1984,22,3.55,1.14,79.53,81.31,80.42,1
1984,23,2.02,2.24,85.88,43.9,64.89,1
1984,24,2.62,3.94,65.81,73.5,69.66,1
1984,25,4.33,4.75,93.85,48.0,70.93,1
1984,26,2.35,4.9,43.15,63.36,53.25,1
1984,27,3.2,1.28,36.7,62.21,49.45,1
1984,28,0.99,1.79,71.96,51.07,61.51,1
1984,29,3.37,0.94,64.03,72.69,68.36,1
1984,30,0.97,0.53,55.31,50.43,52.87,1
1984,31,1.11,1.88,59.76,46.1,52.93,1
1984,32,0.29,4.02,88.77,57.39,73.08,1
1984,33,4.38,4.61,46.6,57.89,52.24,1
1984,34,4.05,3.77,53.1,50.94,52.02,1
1984,35,1.92,2.47,44.45,44.9,44.68,1
1984,36,2.37,3.76,27.27,66.4,46.84,1
1984,37,2.61,2.71,56.24,51.93,54.08,1
1984,38,2.71,1.29,43.29,34.94,39.12,1
1984,39,0.2,1.68,31.56,27.61,29.59,1
1984,40,0.69,4.46,31.01,30.05,30.53,1
1984,41,3.97,2.54,63.95,52.06,58.0,1
1984,42,2.98,3.75,37.9,29.72,33.81,1
1984,43,1.49,1.88,19.47,36.49,27.98,1
1984,44,1.84,4.93,47.43,60.57,54.0,1
1984,45,0.6,0.85,11.31,43.47,27.39,1
1984,46,1.01,1.5,21.54,30.13,25.83,1
1984,47,2.11,4.91,31.31,25.46,28.39,1
1984,48,4.85,4.34,26.56,24.22,25.39,1
1984,49,0.94,3.38,21.35,44.06,32.71,1
1984,50,2.9,1.47,31.64,44.13,37.88,1
1984,51,1.69,2.18,20.64,42.28,31.46,1
1984,52,0.66,3.09,6.89,36.55,21.72,1
1985,1,0.86,2.46,41.87,16.78,29.32,1
1985,2,1.75,0.76,23.76,38.22,30.99,1
1985,3,1.35,3.44,50.12,31.85,40.99,1
1985,4,2.41,2.12,44.68,57.35,51.02,1
1985,5,4.17,4.83,47.29,39.04,43.17,1
1985,6,4.7,0.99,46.27,35.78,41.03,1
1985,7,2.91,4.22,44.21,42.81,43.51,1
1985,8,1.09,0.9,50.28,41.47,45.87,1
1985,9,3.36,2.66,53.51,43.14,48.32,1
1985,10,2.02,4.1,63.07,46.09,54.58,1
1985,11,2.37,1.58,21.84,39.71,30.77,1
1985,12,1.24,4.51,55.06,73.71,64.38,1
1985,13,4.54,3.16,69.53,28.79,49.16,1
1985,14,0.78,3.99,37.12,70.7,53.91,1
1985,15,4.48,3.96,70.85,85.77,78.31,1
1985,16,1.32,3.75,56.37,49.75,53.06,1
1985,17,3.84,4.4,66.04,55.5,60.77,1
1985,18,0.64,4.25,82.02,56.22,69.12,1
1985,19,4.01,0.83,63.66,51.54,57.6,1
1985,20,3.63,3.24,80.06,52.96,66.51,1
1985,21,1.33,1.79,75.62,87.09,81.35,1
1985,22,2.36,4.74,43.17,82.84,63.01,1
1985,23,2.58,3.1,74.2,51.49,62.85,1
1985,24,3.51,4.62,71.5,73.6,72.55,1
1985,25,2.92,3.07,57.56,70.22,63.89,1
1985,26,4.68,4.64,92.6,57.89,75.24,1
1985,27,4.93,4.21,52.87,61.77,57.32,1
1985,28,3.0,2.06,67.3,75.48,71.39,1
1985,29,4.03,0.12,62.6,56.11,59.35,1
1985,30,2.73,4.61,48.08,40.09,44.08,1
1985,31,3.71,2.32,42.01,42.98,42.5,1
1985,32,0.79,0.96,55.4,38.93,47.17,1
1985,33,4.58,1.88,16.64,54.67,35.65,1
1985,34,0.16,3.35,82.52,67.11,74.81,1
1985,35,0.52,4.98,48.38,38.53,43.45,1
1985,36,0.43,3.77,88.6,50.71,69.66,1
1985,37,1.11,1.03,50.56,46.46,48.51,1
1985,38,2.87,0.42,44.72,39.89,42.31,1
1985,39,2.67,2.26,39.08,62.73,50.91,1
1985,40,0.86,0.99,59.4,18.15,38.77,1
1985,41,3.26,2.1,17.53,32.15,24.84,1
1985,42,0.23,1.19,50.77,55.31,53.04,1
1985,43,0.2,0.61,45.85,25.22,35.54,1
1985,44,3.3,1.27,25.67,43.53,34.6,1
1985,45,3.64,4.29,28.69,32.22,30.45,1
1985,46,3.37,1.1,25.89,49.89,37.89,1
1985,47,0.16,0.52,39.48,31.72,35.6,1
1985,48,2.16,4.47,35.04,20.1,27.57,1
1985,49,1.37,1.96,22.16,47.59,34.87,1
1985,50,3.16,2.11,6.8,42.38,24.59,1
1985,51,1.54,4.75,0.0,55.79,27.9,1
1985,52,4.36,2.49,23.13,40.76,31.95,1
1986,1,2.18,0.21,34.0,38.52,36.26,1
1986,2,3.2,1.36,38.16,17.13,27.65,1
1986,3,4.92,2.68,37.59,36.56,37.08,1
1986,4,0.19,4.58,28.64,30.71,29.68,1
1986,5,1.44,2.82,41.58,29.74,35.66,1
1986,6,1.11,0.15,56.14,48.7,52.42,1
1986,7,3.04,3.36,46.75,56.47,51.61,1
1986,8,2.64,0.33,17.6,31.06,24.33,1
1986,9,0.51,3.06,55.35,39.48,47.42,1
1986,10,1.51,1.84,40.83,33.12,36.97,1
1986,11,2.88,2.43,37.77,64.45,51.11,1
1986,12,3.69,1.15,62.19,55.81,59.0,1
1986,13,2.53,3.02,48.46,56.78,52.62,1
1986,14,0.62,0.47,76.53,48.53,62.53,1
1986,15,3.47,2.23,60.84,79.77,70.3,1
1986,16,4.02,3.5,73.88,53.2,63.54,1
1986,17,1.87,0.55,74.3,42.38,58.34,1
1986,18,1.01,2.76,65.34,69.79,67.57,1
1986,19,4.05,3.33,73.41,70.61,72.01,1
1986,20,1.32,2.5,81.21,69.54,75.37,1
1986,21,0.98,2.88,75.86,67.06,71.46,1
1986,22,4.63,4.86,53.64,77.53,65.58,1
1986,23,4.32,4.24,69.41,73.18,71.29,1
1986,24,0.28,3.02,83.93,58.7,71.31,1
1986,25,0.48,3.51,62.9,60.85,61.88,1
1986,26,0.42,1.64,87.54,53.29,70.41,1
1986,27,1.66,3.17,89.41,65.64,77.53,1
1986,28,1.24,0.22,70.47,73.02,71.74,1
1986,29,4.7,4.01,66.2,74.01,70.11,1
1986,30,2.45,3.17,55.5,76.86,66.18,1
1986,31,2.16,3.71,54.68,75.96,65.32,1
1986,32,1.84,1.51,52.99,53.59,53.29,1
1986,33,0.31,0.19,42.03,46.11,44.07,1
1986,34,1.98,3.43,54.27,56.4,55.33,1
1986,35,4.73,2.39,67.18,49.24,58.21,1
1986,36,4.96,1.24,33.16,54.59,43.87,1
1986,37,3.08,2.61,50.09,54.1,52.09,1
1986,38,1.18,1.01,35.65,40.04,37.84,1
1986,39,0.38,4.85,33.35,58.95,46.15,1
1986,40,3.51,0.85,62.01,36.18,49.1,1
1986,41,1.2,2.73,30.36,49.07,39.71,1
1986,42,0.55,4.4,59.95,61.6,60.78,1
1986,43,4.45,4.78,25.84,34.12,29.98,1
1986,44,3.31,2.8,37.83,41.67,39.75,1
1986,45,1.93,1.37,29.64,27.14,28.39,1
1986,46,0.5,1.18,30.8,57.51,44.16,1
1986,47,4.27,2.53,22.82,38.12,30.47,1
1986,48,4.14,1.8,68.05,28.74,48.39,1
1986,49,1.41,4.41,40.23,57.16,48.69,1
1986,50,4.27,4.35,39.01,48.41,43.71,1
1986,51,3.52,3.43,42.89,41.52,42.21,1
1986,52,0.88,4.42,52.03,43.76,47.9,1
1987,1,1.74,3.74,29.78,38.48,34.13,1
1987,2,4.18,2.59,39.07,32.94,36.0,1
1987,3,3.2,1.37,37.9,39.33,38.61,1
1987,4,3.92,0.62,46.42,66.01,56.22,1
1987,5,4.82,1.78,42.38,60.41,51.39,1
1987,6,0.6,4.69,49.82,45.27,47.55,1
1987,7,1.57,3.57,36.21,47.01,41.61,1
1987,8,1.79,3.14,47.21,38.01,42.61,1
1987,9,3.82,0.22,39.21,52.72,45.96,1
1987,10,3.45,2.28,73.48,49.21,61.35,1
1987,11,0.9,3.99,30.69,25.42,28.06,1
1987,12,0.5,3.43,39.47,62.09,50.78,1
1987,13,4.76,0.84,37.89,65.79,51.84,1
1987,14,2.16,3.23,69.05,55.78,62.41,1
1987,15,4.92,2.11,38.48,50.22,44.35,1
1987,16,1.14,0.25,59.64,64.17,61.91,1
1987,17,4.34,2.42,46.2,78.55,62.37,1
1987,18,3.88,4.24,71.6,67.83,69.71,1
1987,19,0.74,0.26,77.35,79.23,78.29,1
1987,20,4.0,2.46,71.65,72.53,72.09,1
1987,21,1.08,2.51,59.27,86.18,72.72,1
1987,22,1.42,4.01,71.78,56.72,64.25,1
1987,23,0.16,0.45,63.31,42.33,52.82,1
1987,24,3.04,1.53,63.07,35.8,49.44,1
1987,25,3.92,0.29,81.21,69.67,75.44,1
1987,26,1.29,4.93,54.2,63.45,58.82,1
1987,27,3.13,3.54,67.66,49.38,58.52,1
1987,28,1.7,2.64,63.15,62.67,62.91,1
1987,29,0.26,0.49,61.26,53.04,57.15,1
1987,30,2.88,3.48,48.24,56.57,52.41,1
1987,31,0.92,0.61,52.79,65.39,59.09,1
1987,32,0.25,4.69,80.28,68.07,74.18,1
1987,33,3.57,4.37,57.99,47.56,52.77,1
1987,34,1.76,4.09,68.21,61.21,64.71,1
1987,35,2.32,3.25,72.17,54.18,63.18,1
1987,36,0.5,0.4,76.04,52.37,64.21,1
1987,37,4.37,1.17,37.82,42.39,40.1,1
1987,38,3.33,2.54,53.06,39.53,46.29,1
1987,39,1.22,4.98,68.82,49.92,59.37,1
1987,40,1.08,3.43,41.28,44.47,42.87,1
1987,41,4.35,3.66,34.78,21.46,28.12,1
1987,42,1.8,1.92,29.49,58.94,44.22,1
1987,43,2.25,3.65,38.4,51.34,44.87,1
1987,44,4.51,2.17,49.72,37.19,43.46,1
1987,45,4.57,1.13,42.08,17.8,29.94,1
1987,46,3.69,0.74,53.45,52.54,52.99,1
1987,47,0.98,1.26,37.99,38.56,38.28,1
1987,48,1.31,4.37,29.76,49.18,39.47,1
1987,49,1.86,3.01,41.58,0.82,21.2,1
1987,50,4.85,1.36,24.71,21.67,23.19,1
1987,51,3.89,0.74,11.16,49.37,30.26,1
1987,52,1.26,0.46,30.6,41.7,36.15,1
1988,1,1.75,4.16,33.44,21.32,27.38,1
1988,2,3.12,3.56,10.19,32.52,21.35,1
1988,3,0.28,3.71,29.8,34.58,32.19,1
1988,4,4.24,4.05,31.91,64.97,48.44,1
1988,5,1.11,0.65,54.09,44.34,49.22,1
1988,6,2.7,4.69,39.63,42.58,41.11,1
1988,7,1.65,2.59,53.9,43.71,48.8,1
1988,8,2.33,2.63,58.96,50.57,54.76,1
1988,9,0.78,0.25,78.91,46.52,62.72,1
1988,10,1.09,3.4,66.62,37.52,52.07,1
1988,11,4.35,0.97,43.05,74.78,58.92,1
1988,12,4.73,3.45,67.84,59.54,63.69,1
1988,13,4.36,2.9,93.14,54.63,73.89,1
1988,14,1.16,3.33,75.88,71.22,73.55,1
1988,15,0.62,3.32,85.86,44.76,65.31,1
1988,16,4.37,3.93,62.3,63.89,63.1,1
1988,17,4.4,2.08,89.18,66.67,77.92,1
1988,18,4.06,3.84,84.3,47.61,65.96,1
1988,19,4.11,0.69,63.25,79.79,71.52,1
1988,20,1.69,1.9,66.1,64.21,65.16,1
1988,21,2.0,2.3,93.34,54.4,73.87,1
1988,22,1.21,0.46,60.27,49.01,54.64,1
1988,23,3.14,2.37,94.63,77.12,85.87,1
1988,24,2.64,2.45,84.58,60.99,72.79,1
1988,25,2.94,2.71,48.58,44.82,46.7,1
1988,26,4.08,3.62,89.46,70.79,80.13,1
1988,27,1.29,4.64,79.09,66.66,72.87,1
1988,28,2.48,1.36,55.15,58.98,57.06,1
1988,29,4.03,2.74,50.14,47.98,49.06,1
1988,30,3.61,1.44,77.04,41.1,59.07,1
1988,31,0.99,3.44,46.62,55.83,51.22,1
1988,32,3.57,0.62,60.88,40.96,50.92,1
1988,33,4.82,2.47,33.2,60.6,46.9,1
1988,34,0.31,3.2,58.15,69.96,64.05,1
1988,35,4.11,4.43,54.25,58.33,56.29,1
1988,36,3.09,2.11,39.47,42.05,40.76,1
1988,37,3.92,1.45,28.93,39.88,34.4,1
1988,38,3.37,0.57,40.79,61.38,51.09,1
1988,39,2.97,0.92,30.38,70.42,50.4,1
1988,40,1.16,0.57,50.21,47.99,49.1,1
1988,41,3.07,2.78,39.3,39.72,39.51,1
1988,42,3.01,2.53,28.38,23.62,26.0,1
1988,43,2.2,3.62,22.97,58.44,40.71,1
1988,44,1.44,0.49,42.08,57.2,49.64,1
1988,45,1.21,1.84,23.57,24.54,24.05,1
1988,46,0.43,4.02,31.81,26.74,29.27,1
1988,47,4.41,3.29,34.09,16.77,25.43,1
1988,48,1.73,3.38,0.24,39.6,19.92,1
1988,49,2.38,0.39,55.09,40.03,47.56,1
1988,50,0.96,3.48,38.52,36.02,37.27,1
1988,51,0.57,2.31,33.12,18.47,25.8,1
1988,52,3.36,4.0,20.27,50.81,35.54,1
1989,1,4.96,4.64,15.91,32.92,24.41,1
1989,2,2.65,3.16,51.74,39.36,45.55,1
1989,3,0.73,4.15,37.91,35.06,36.49,1
1989,4,0.28,1.59,47.36,51.53,49.45,1
1989,5,0.53,4.69,26.85,25.5,26.18,1
1989,6,2.05,2.29,13.16,49.13,31.14,1
1989,7,4.61,2.54,48.74,74.6,61.67,1
1989,8,1.97,4.4,46.44,45.22,45.83,1
1989,9,3.97,1.59,51.6,52.05,51.83,1
1989,10,0.95,3.51,47.38,40.93,44.15,1
1989,11,3.24,4.13,52.83,51.7,52.27,1
1989,12,3.07,3.85,54.41,63.4,58.91,1
1989,13,2.05,0.82,57.25,39.58,48.41,1
1989,14,0.23,0.76,50.15,54.73,52.44,1
1989,15,4.83,2.22,62.21,64.88,63.54,1
1989,16,2.25,0.62,64.23,36.24,50.24,1
1989,17,3.14,3.29,46.82,68.43,57.63,1
1989,18,0.39,4.97,63.26,80.23,71.75,1
1989,19,4.92,1.27,69.94,59.24,64.59,1
1989,20,3.49,0.41,59.5,60.4,59.95,1
1989,21,4.09,3.11,71.83,64.6,68.21,1
1989,22,2.68,2.19,84.1,47.07,65.58,1
1989,23,1.9,2.13,49.5,62.3,55.9,1
1989,24,3.87,0.15,77.98,74.0,75.99,1
1989,25,0.19,1.37,60.77,33.47,47.12,1
1989,26,2.72,1.15,60.51,68.73,64.62,1
1989,27,0.64,2.79,67.48,70.23,68.86,1
1989,28,0.58,2.49,84.41,60.44,72.43,1
1989,29,3.71,2.43,58.32,50.61,54.47,1
1989,30,2.35,3.95,42.68,40.58,41.63,1
1989,31,3.47,2.24,51.33,71.0,61.16,1
1989,32,0.29,4.52,69.46,51.12,60.29,1
1989,33,3.33,4.49,89.45,48.05,68.75,1
1989,34,0.43,2.64,74.31,72.33,73.32,1
1989,35,2.61,3.43,59.31,43.68,51.49,1
1989,36,0.45,0.16,44.52,52.22,48.37,1
1989,37,1.81,3.9,27.38,36.53,31.96,1
1989,38,0.95,0.58,29.51,52.85,41.18,1
1989,39,1.4,0.2,60.69,53.31,57.0,1
1989,40,3.16,1.97,55.65,33.95,44.8,1
1989,41,3.11,3.9,33.8,38.47,36.13,1
1989,42,0.31,4.85,43.58,66.03,54.8,1
1989,43,4.9,3.05,25.38,49.91,37.64,1
1989,44,4.08,3.32,56.47,43.75,50.11,1
1989,45,4.65,1.2,26.82,26.65,26.73,1
1989,46,2.25,3.1,15.63,12.38,14.0,1
1989,47,4.45,3.26,27.26,32.11,29.69,1
1989,48,4.32,4.25,43.05,28.11,35.58,1
1989,49,3.8,2.36,27.49,38.39,32.94,1
1989,50,3.9,3.32,37.51,43.93,40.72,1
1989,51,4.92,4.69,33.3,19.87,26.59,1
1989,52,4.11,1.15,37.29,28.16,32.73,1
1990,1,3.69,2.76,50.87,36.97,43.92,1
1990,2,1.56,2.87,37.15,68.88,53.01,1
1990,3,3.22,3.83,46.33,43.35,44.84,1
1990,4,0.15,1.31,34.66,25.36,30.01,1
1990,5,4.02,1.1,35.5,31.27,33.39,1
1990,6,3.12,1.02,65.75,47.77,56.76,1
1990,7,2.82,0.13,60.86,37.36,49.11,1
1990,8,4.79,1.9,33.44,54.19,43.81,1
1990,9,1.6,4.4,34.28,42.94,38.61,1
1990,10,4.44,3.01,75.9,45.2,60.55,1
1990,11,3.51,0.12,31.14,30.68,30.91,1
1990,12,3.99,0.56,31.9,68.74,50.32,1
1990,13,3.25,0.42,48.81,86.02,67.42,1
1990,14,2.85,3.06,82.43,81.04,81.74,1
1990,15,1.42,4.14,76.72,65.63,71.18,1
1990,16,0.39,1.74,50.99,59.91,55.45,1
1990,17,3.96,2.63,75.42,72.69,74.05,1
1990,18,1.71,2.23,49.33,60.02,54.68,1
1990,19,3.03,3.7,66.47,61.82,64.14,1
1990,20,3.22,3.95,53.34,86.27,69.81,1
1990,21,4.22,1.98,66.02,53.05,59.54,1
1990,22,1.0,1.87,98.12,83.41,90.77,1
1990,23,1.56,4.71,72.11,43.78,57.95,1
1990,24,4.38,4.23,62.86,45.75,54.31,1
1990,25,2.35,2.47,77.12,58.17,67.65,1
1990,26,2.24,3.67,68.29,85.29,76.79,1
1990,27,3.09,0.76,58.68,68.91,63.79,1
1990,28,4.79,0.44,77.95,77.07,77.51,1
1990,29,1.38,1.31,63.47,58.78,61.13,1
1990,30,1.43,3.82,59.87,64.36,62.11,1
1990,31,0.42,2.49,83.75,55.27,69.51,1
1990,32,1.8,4.51,22.93,67.58,45.26,1
1990,33,4.69,0.36,58.1,61.51,59.8,1
1990,34,3.68,4.91,31.35,47.24,39.29,1
1990,35,1.07,2.87,64.32,36.76,50.54,1
1990,36,3.08,1.81,57.0,49.57,53.28,1
1990,37,4.27,2.85,36.57,38.47,37.52,1
1990,38,4.31,3.64,29.98,47.15,38.56,1
1990,39,2.76,0.5,45.55,40.28,42.92,1
1990,40,0.91,4.73,24.62,7.97,16.3,1
1990,41,2.37,2.12,45.19,52.33,48.76,1
1990,42,0.41,2.61,46.02,64.74,55.38,1
1990,43,0.35,3.95,32.29,55.27,43.78,1
1990,44,0.91,1.72,23.85,28.06,25.96,1
1990,45,1.1,4.4,34.13,56.21,45.17,1
1990,46,4.93,3.88,26.92,17.22,22.07,1
1990,47,2.74,2.54,43.83,34.5,39.16,1
1990,48,4.13,1.96,34.63,26.09,30.36,1
1990,49,1.51,3.98,31.7,17.74,24.72,1
1990,50,4.01,2.04,58.25,48.07,53.16,1
1990,51,0.87,3.51,31.6,45.67,38.63,1
1990,52,4.3,4.54,21.65,48.33,34.99,1
1991,1,1.0,4.48,27.27,31.87,29.57,1
1991,2,2.26,3.11,19.21,42.74,30.98,1
1991,3,4.84,2.15,35.39,55.72,45.56,1
1991,4,4.42,2.19,20.8,45.19,33.0,1
1991,5,3.62,4.46,56.45,72.55,64.5,1
1991,6,1.02,4.31,43.62,38.79,41.21,1
1991,7,3.58,1.64,45.43,60.49,52.96,1
1991,8,2.35,1.85,64.97,44.99,54.98,1
1991,9,1.74,0.95,67.04,47.92,57.48,1
1991,10,0.59,1.28,62.61,56.56,59.59,1
1991,11,2.31,3.77,46.53,40.74,43.64,1
1991,12,1.83,4.22,73.04,71.85,72.44,1
1991,13,3.21,0.72,63.15,55.03,59.09,1
1991,14,3.46,0.44,41.61,71.22,56.42,1
1991,15,1.21,4.2,65.61,55.41,60.51,1
1991,16,3.5,2.61,76.33,43.8,60.06,1
1991,17,0.26,1.59,49.97,53.09,51.53,1
1991,18,4.37,3.85,74.17,64.5,69.33,1
1991,19,1.38,4.55,77.23,76.6,76.91,1
1991,20,0.64,2.29,78.79,86.82,82.81,1
1991,21,2.78,1.96,86.03,63.12,74.57,1
1991,22,3.73,4.6,61.82,63.8,62.81,1
1991,23,1.53,4.56,80.64,59.77,70.21,1
1991,24,0.19,4.82,80.94,72.28,76.61,1
1991,25,4.16,1.48,55.39,77.6,66.49,1
1991,26,0.57,1.29,74.21,86.08,80.15,1
1991,27,1.58,3.03,67.42,59.64,63.53,1
1991,28,3.74,0.34,50.65,49.53,50.09,1
1991,29,4.47,1.01,79.22,81.76,80.49,1
1991,30,3.99,0.27,61.7,57.92,59.81,1
1991,31,0.41,4.17,62.41,72.46,67.44,1
1991,32,0.56,4.56,45.38,59.83,52.61,1
1991,33,4.41,2.9,71.72,61.33,66.53,1
1991,34,1.65,2.23,14.24,61.72,37.98,1
1991,35,4.47,2.27,60.08,68.29,64.19,1
1991,36,3.0,3.54,74.18,65.78,69.98,1
1991,37,0.61,1.98,48.72,28.97,38.84,1
1991,38,4.76,3.04,77.78,44.3,61.04,1
1991,39,3.21,0.45,43.56,65.02,54.29,1
1991,40,2.42,0.32,29.57,27.19,28.38,1
1991,41,4.86,1.72,32.2,33.17,32.68,1
1991,42,3.09,1.48,15.64,39.06,27.35,1
1991,43,0.13,0.14,36.27,21.28,28.77,1
1991,44,4.03,2.9,28.9,28.63,28.77,1
1991,45,4.67,2.05,4.16,38.1,21.13,1
1991,46,0.66,1.79,34.5,26.95,30.72,1
1991,47,2.52,3.54,46.72,35.69,41.21,1
1991,48,2.17,2.11,19.52,16.94,18.23,1
